# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2019-03-05T00:00:00.0
# Date end (ISO 8601): 2019-03-22T00:00:00.0
# Latitude (positive North, ISO 19115): 36.6440
# Longitude (positive East, ISO 19115): 113.6419
# Altitude (m): 728.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 0 h 15 min 0 s
# noValue: nan
# File generated on: 2024-11-18
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2019-03-05T00:00:00.0/2019-03-05T00:15:00.0;83.6426;30.7041;6.0111;24.6930;24.7703;28.4845;5.0783;23.4062;20.7362;1.0000
2019-03-05T00:15:00.0/2019-03-05T00:30:00.0;100.1099;40.3022;9.3339;30.9683;32.1910;39.0119;8.7696;30.2423;30.2288;1.0000
2019-03-05T00:30:00.0/2019-03-05T00:45:00.0;116.0522;50.5410;13.3509;37.1901;39.7595;48.9670;12.4926;36.4744;37.2643;1.0000
2019-03-05T00:45:00.0/2019-03-05T01:00:00.0;131.4012;61.1818;17.9649;43.2169;47.2808;57.5561;15.7904;41.7657;41.5042;1.0000
2019-03-05T01:00:00.0/2019-03-05T01:15:00.0;146.0914;71.9982;23.0570;48.9413;54.6034;70.9093;22.5346;48.3747;53.3901;1.0000
2019-03-05T01:15:00.0/2019-03-05T01:30:00.0;160.0597;82.7862;28.4980;54.2882;61.6167;77.5996;24.5956;53.0040;53.2230;1.0000
2019-03-05T01:30:00.0/2019-03-05T01:45:00.0;173.2464;93.3676;34.1567;59.2108;68.2442;90.2655;31.6566;58.6089;63.1561;1.0000
2019-03-05T01:45:00.0/2019-03-05T02:00:00.0;185.5951;103.5890;39.9058;63.6832;74.4366;103.0041;39.3314;63.6727;73.3854;1.0000
2019-03-05T02:00:00.0/2019-03-05T02:15:00.0;197.0529;113.3194;45.6248;67.6945;80.1644;111.4605;43.7601;67.7004;76.8950;1.0000
2019-03-05T02:15:00.0/2019-03-05T02:30:00.0;207.5708;122.4469;51.2025;71.2444;85.4126;110.1317;38.5795;71.5523;64.3100;1.0000
2019-03-05T02:30:00.0/2019-03-05T02:45:00.0;217.1037;130.8763;56.5375;74.3388;90.1760;130.7527;56.4083;74.3444;89.9658;0.7000
2019-03-05T02:45:00.0/2019-03-05T03:00:00.0;225.6109;138.5260;61.5384;76.9876;94.4555;138.5260;61.5384;76.9876;94.4555;0.9667
2019-03-05T03:00:00.0/2019-03-05T03:15:00.0;233.0560;145.4246;66.2461;79.1784;98.4354;145.4246;66.2461;79.1784;98.4354;1.0000
2019-03-05T03:15:00.0/2019-03-05T03:30:00.0;239.4071;151.5199;70.6126;80.9073;102.1425;151.5199;70.6126;80.9073;102.1425;1.0000
2019-03-05T03:30:00.0/2019-03-05T03:45:00.0;244.6371;156.7328;74.7990;81.9338;105.8861;156.7328;74.7990;81.9338;105.8861;1.0000
