# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2018-06-30T00:00:00.0
# Date end (ISO 8601): 2019-06-14T00:00:00.0
# Latitude (positive North, ISO 19115): 36.6440
# Longitude (positive East, ISO 19115): 113.6419
# Altitude (m): 614.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 0 h 15 min 0 s
# noValue: nan
# File generated on: 2024-11-16
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;
TOA; Clear_sky_GHI;Clear_sky_BHI;Clear_sky_DHI;Clear_sky_BNI;GHI;BHI;DHI;BNI;Reliability
2018-06-30T00:00:00.0/2018-06-30T00:15:00.0;178.5525;99.1361;35.9104;63.2257;66.1874;40.8164;0.3417;40.4747;0.6297;1.0000
2018-06-30T00:15:00.0/2018-06-30T00:30:00.0;192.7724;110.8841;42.5477;68.3364;72.6474;44.3293;0.4473;43.8820;0.7574;1.0000
2018-06-30T00:30:00.0/2018-06-30T00:45:00.0;206.4984;122.4640;49.3884;73.0757;78.7313;47.1460;0.5603;46.5858;0.9044;1.0000
2018-06-30T00:45:00.0/2018-06-30T01:00:00.0;219.6717;133.7665;56.3300;77.4364;84.4198;48.8792;0.4205;48.4586;0.6237;1.0000
2018-06-30T01:00:00.0/2018-06-30T01:15:00.0;232.2360;144.6941;63.2759;81.4182;89.7051;98.9169;20.2181;78.6988;28.4200;1.0000
2018-06-30T01:15:00.0/2018-06-30T01:30:00.0;244.1373;155.1599;70.1351;85.0248;94.5875;119.0716;24.0837;94.9880;32.5925;1.0000
2018-06-30T01:30:00.0/2018-06-30T01:45:00.0;255.3247;165.0867;76.8233;88.2634;99.0721;107.7307;14.3571;93.3736;18.5040;1.0000
2018-06-30T01:45:00.0/2018-06-30T02:00:00.0;265.7504;174.4060;83.2625;91.1434;103.1673;34.3049;2.4774;31.8275;3.1120;1.0000
2018-06-30T02:00:00.0/2018-06-30T02:15:00.0;275.3696;183.0571;89.3813;93.6758;106.8831;42.1485;0.0302;42.1184;0.0358;1.0000
2018-06-30T02:15:00.0/2018-06-30T02:30:00.0;284.1411;190.9874;95.1146;95.8728;110.2303;57.8372;0.3026;57.5346;0.3509;1.0000
2018-06-30T02:30:00.0/2018-06-30T02:45:00.0;292.0275;198.1508;100.4038;97.7470;113.2199;52.9961;0.0859;52.9102;0.0969;0.7000
2018-06-30T02:45:00.0/2018-06-30T03:00:00.0;298.9947;204.5076;105.1969;99.3107;115.8623;66.8593;1.8457;65.0136;2.0201;0.9667
2018-06-30T03:00:00.0/2018-06-30T03:15:00.0;305.0131;209.8432;108.7970;101.0463;117.4664;73.4220;3.1041;70.3178;3.3659;1.0000
2018-06-30T03:15:00.0/2018-06-30T03:30:00.0;310.0568;214.1310;111.1399;102.9910;118.0448;64.3833;0.3524;64.0309;0.3739;1.0000
2018-06-30T03:30:00.0/2018-06-30T03:45:00.0;314.1041;217.5282;112.8402;104.6881;118.3067;72.0696;0.6819;71.3878;0.7143;1.0000
